study_duration,idle_time,break_count,tab_switch_count,attention_level
44,14,3,11,1
50,12,4,10,1
47,14,3,9,1
37,17,3,10,1
46,12,4,7,1
50,12,3,8,1
48,16,3,5,1
57,12,5,5,1
15,17,9,24,0
66,5,3,4,2
30,15,9,19,0
70,6,1,2,2
57,14,3,8,1
36,15,6,15,0
35,22,5,13,0
30,20,8,11,0
79,7,3,1,2
36,25,7,15,0
18,26,5,16,0
88,7,3,1,2
37,13,4,6,1
66,4,2,0,2
54,1,3,2,2
43,17,4,5,1
74,0,1,3,2
83,2,3,0,2
52,9,3,4,2
16,31,7,20,0
21,21,5,10,0
39,18,6,21,0
51,6,3,1,2
78,4,2,2,2
53,17,3,9,1
45,8,4,10,1
83,9,1,0,2
61,9,2,1,2
38,14,5,6,1
53,12,5,6,1
21,17,7,15,0
54,4,3,0,2
61,2,1,3,2
86,9,1,0,2
71,4,3,0,2
16,29,9,19,0
52,6,3,3,2
71,7,1,0,2
38,26,7,10,0
47,12,3,6,1
47,16,3,7,1
19,21,8,14,0
52,10,4,6,1
31,15,7,24,0
80,9,1,2,2
48,11,5,7,1
82,4,2,1,2
58,9,2,3,2
58,10,3,9,1
74,1,2,0,2
69,3,3,0,2
33,25,9,19,0
68,2,1,3,2
89,6,2,0,2
38,17,4,6,1
66,6,2,1,2
38,9,4,7,1
58,17,4,10,1
44,13,4,8,1
27,29,8,15,0
57,1,1,0,2
41,11,3,5,1
85,1,3,1,2
43,8,3,5,1
35,11,5,5,1
47,9,4,6,1
57,1,3,2,2
73,6,3,4,2
48,14,5,7,1
62,8,3,2,2
48,10,5,8,1
83,6,1,2,2
44,9,5,9,1
85,0,1,4,2
70,0,3,0,2
69,7,3,2,2
70,7,3,3,2
37,13,3,6,1
27,24,8,18,0
36,8,4,9,1
39,30,5,14,0
86,2,2,1,2
85,1,2,4,2
36,11,4,11,1
41,15,3,6,1
79,7,3,0,2
26,28,5,12,0
56,17,5,7,1
20,16,8,14,0
71,9,2,0,2
84,8,3,0,2
26,17,7,10,0
36,17,4,7,1
59,8,3,3,2
23,22,8,11,0
89,5,2,1,2
51,15,3,7,1
47,13,5,9,1
49,16,5,6,1
27,29,8,16,0
76,0,1,0,2
25,15,7,12,0
44,15,3,6,1
34,20,7,14,0
20,18,8,12,0
19,33,8,17,0
72,1,2,2,2
43,14,5,5,1
83,3,1,0,2
26,27,7,21,0
57,12,3,10,1
63,6,2,1,2
16,22,5,11,0
35,9,3,5,1
36,13,4,10,1
